,nama_desa,jumlah_dasar,jumlah_berkembang,jumlah_lengkap,jumlah_berkelanjutan,prov,kab,kec,latitude,longitude,
2,BANUADA,1,0,0,0,SULAWESI BARAT,MAMUJU,BONEHAU,-2.6023741,119.2118344,
3,HINUA,1,0,0,0,SULAWESI BARAT,MAMUJU,BONEHAU,-2.5567152,119.2299721,
0,BALA BALAKANG,1,0,0,0,SULAWESI BARAT,MAMUJU,KEP. BALA BALAKANG,-2.1466875,117.0002328,
0,SENDANA,0,1,0,0,SULAWESI BARAT,MAMASA,MAMBI,-2.9529006,119.1715122,
1,BUJUNG MANURUNG,0,1,0,0,SULAWESI BARAT,MAMASA,MAMBI,-2.9328885,119.1613497,
0,PANETEAN,0,1,0,0,SULAWESI BARAT,MAMASA,ARALLE,-2.8515315,119.1239478,"langsung copy kayak dibawah mi, nnti "
1,UHAILANU,1,0,0,0,SULAWESI BARAT,MAMASA,ARALLE,-2.909866,119.1314479,"dipisah otomatis, ada ple cara mudahnya baru ku ingat"
0,PEBASSIAN,1,0,0,0,SULAWESI BARAT,MAMASA,MAMASA,-2.9537763,119.324356,
0,DATUBARINGAN,1,0,0,0,SULAWESI BARAT,MAMASA,PANA,-3.1178039,119.5610544,kk yg mau pisah?
0,BURANA,0,1,0,0,SULAWESI BARAT,MAMASA,TABULAHAN,-2.7048925,119.044188,ndapp kak spya sekalian
0,SASAKAN,0,0,1,0,SULAWESI BARAT,MAMASA,SUMARORONG,-3.1670626,119.2507501,
1,SALUBALO,0,0,0,1,SULAWESI BARAT,MAMASA,SUMARORONG,-3.1072597,119.2311756,bala balakang nda kudpt kak
0,PASMA MAMBU,0,0,0,1,SULAWESI BARAT,MAMASA,MESSAWA,-3.2500665,119.2944934,wait
0,OROBUA,1,0,0,0,SULAWESI BARAT,MAMASA,SESENAPADANG,-2.984525,119.3839319,
1,OROBUA SELATAN,1,0,0,0,SULAWESI BARAT,MAMASA,SESENAPADANG,-3.0164837,119.3948476,"pa'bal, wkwk"
0,TAMALANTIK,1,0,0,0,SULAWESI BARAT,MAMASA,TANDUK KALUA,-3.0673987,119.3036957,jdi apa namanya bala balakang di maps?
0,TADOKALUA,1,0,0,0,SULAWESI BARAT,MAMASA,TABANG,-2.8512446,119.3488453,balabalagan islands
1,TABANG BARAT,1,0,0,0,SULAWESI BARAT,MAMASA,TABANG,-2.9891307,119.5145076,
0,MOKALLANG,0,0,0,1,SULAWESI BARAT,MAMASA,BAMBANG,-2.9087726,119.2377765,jgn lupa makan
1,RANTELEMO,0,0,0,1,SULAWESI BARAT,MAMASA,BAMBANG,-2.9383703,119.2285601,
0,BALLA SATANETEAN,0,1,0,0,SULAWESI BARAT,MAMASA,BALLA,-2.9704682,119.2767856,
1,BALLA TUMUKA,0,0,0,1,SULAWESI BARAT,MAMASA,BALLA,-2.9749205,119.2623708,
0,MASEWWE,1,0,0,0,SULAWESI BARAT,MAMASA,NOSU,-3.1760358,119.4755039,
0,RANTETANGNGA,1,0,0,0,SULAWESI BARAT,MAMASA,TAWALIAN,-2.964719,119.3531669,
0,BUANGIN,1,0,0,0,SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,-2.978464,119.2336404,
1,SALUMOKANAN UTARA,1,0,0,0,SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,-2.9784505,119.2144008,
0,BUNTUMALANGKA,0,1,0,0,SULAWESI BARAT,MAMASA,BUNTUMALANGKA,-2.8463699,119.1221555,
0,BOTTENG,0,1,0,0,SULAWESI BARAT,MAMASA,MEHALAAN,-3.0811627,118.8275022,
0,TANGNGA TANGNGA,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,-3.5117268,119.0233246,
1,LEKOPADIS,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,-3.497546,119.0039736,"makan mi dlu, sy berenti juga dlu."
2,SEPABATU,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,-3.5111515,119.0068292,sdh kak 
0,KATUMBANGAN LEMO,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,-3.469609,119.1634394,maghrib tdi makan
1,KENJE,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,-3.4830791,119.1204987,
