,nama_desa,jumlah_dasar,jumlah_berkembang,jumlah_lengkap,jumlah_berkelanjutan,prov,kab,kec,latitude,longitude
1,SALUBALO,0,0,0,1,SULAWESI BARAT,MAMASA,SUMARORONG,18,20
0,PASMA MAMBU,0,0,0,1,SULAWESI BARAT,MAMASA,MESSAWA,47,1
0,OROBUA,1,0,0,0,SULAWESI BARAT,MAMASA,SESENAPADANG,83,40
1,OROBUA SELATAN,1,0,0,0,SULAWESI BARAT,MAMASA,SESENAPADANG,44,32
0,TAMALANTIK,1,0,0,0,SULAWESI BARAT,MAMASA,TANDUK KALUA,23,4
0,TADOKALUA,1,0,0,0,SULAWESI BARAT,MAMASA,TABANG,88,22
1,TABANG BARAT,0,0,1,0,SULAWESI BARAT,MAMASA,TABANG,4,83
0,MOKALLANG,0,0,0,1,SULAWESI BARAT,MAMASA,BAMBANG,28,20
1,RANTELEMO,0,0,0,1,SULAWESI BARAT,MAMASA,BAMBANG,64,58
0,BALLA SATANETEAN,0,1,0,0,SULAWESI BARAT,MAMASA,BALLA,69,92
1,BALLA TUMUKA,0,0,0,1,SULAWESI BARAT,MAMASA,BALLA,2,92
0,MASEWWE,1,0,0,0,SULAWESI BARAT,MAMASA,NOSU,4,82
0,RANTETANGNGA,1,0,0,0,SULAWESI BARAT,MAMASA,TAWALIAN,81,43
0,BUANGIN,1,0,0,0,SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,68,42
1,SALUMOKANAN UTARA,1,0,0,0,SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,20,64
0,BUNTUMALANGKA,0,1,0,0,SULAWESI BARAT,MAMASA,BUNTUMALANGKA,31,71
0,BOTTENG,0,1,0,0,SULAWESI BARAT,MAMASA,MEHALAAN,83,16
0,TANGNGA TANGNGA,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,67,57
1,LEKOPADIS,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,44,32
2,SEPABATU,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,58,81
0,KATUMBANGAN LEMO,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,9,72
1,KENJE,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,35,38
2,SUMARRANG,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,81,8
3,PADANG TIMUR,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,2,88
0,SIDOREJO,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,32,40
